,collocate,raw_frequency,MI
375,HE,14,2.407331398857762
376,I,16,2.2412264734493075
377,IT,17,2.908073640389653
378,S,19,3.952914791031339
379,TO,26,2.6263039396810406
380,IN,30,3.3167404333105455
381,A,31,2.988997831013147
382,OF,37,2.966496521579995
383,AND,48,2.8583221669490357
384,THE,93,3.375355867254162
