,collocate,raw_frequency,MI
84,SIXTEEN,1,9.040887239649244
85,AT,1,2.168759138310259
86,AN,1,2.7456212382095986
87,WHEN,1,2.7813057755843222
88,HAPPY,1,5.0519031930849705
89,HEALTHY,1,6.843662662313026
90,LOOKING,1,4.476539048181409
91,BOTH,1,4.85123249762282
92,SECRET,1,5.352007785535309
93,D,1,4.85123249762282
94,BROTHER,1,5.169686228741354
95,CURED,1,6.843662662313026
96,BY,1,2.6356587816184036
97,ELECTRICITY,1,4.8820041562895735
98,PURELY,1,6.268298517409463
99,SO,1,2.4588621007564186
100,E,1,6.738302146655199
101,LIFE,1,3.85910368935716
102,APPEARANCE,1,6.401829910033986
103,ROBED,1,9.040887239649244
104,ITS,1,3.670249211521582
105,ANXIETY,1,6.401829910033986
106,CHALLONER,1,5.2566976057309835
107,SHIVERED,1,8.3477400590893
108,TERROR,1,7.094977090593932
109,STRAIGHT,1,5.745050373644916
110,WIFE,1,5.63968985798709
111,MRS,1,4.09924481703994
112,EVERARD,1,4.836194620258279
113,WE,1,3.1112980962593504
114,LL,1,5.015535548914095
115,SEND,1,6.207673895593029
116,SAY,1,3.722767245805029
117,ZARA,1,3.3304602222743753
118,UNFORTUNATE,1,7.654592878529354
119,RECEIVED,1,6.045154966095254
120,DE,1,6.642991966850874
121,ALSO,1,4.476539048181409
122,VICTIM,1,7.24912777042119
123,MISERABLE,1,6.3328370385470345
124,OUT,1,3.209004762365728
125,PATH,1,6.642991966850874
126,REVENGE,1,7.654592878529354
127,RE,1,5.996364801925822
128,FOR,2,2.7595555091841453
129,AMERICAN,2,6.268298517409463
130,HIS,2,2.145710742873968
131,WHO,2,3.527458493484263
132,HAD,2,2.6168289170448458
133,FIGURE,2,5.8422141220985635
134,MORE,2,3.831401086807824
135,YOUNG,2,4.710153899362914
136,THAN,2,4.208581481077406
137,WHAT,2,3.5214283244576716
138,IT,2,2.086248374768257
139,YOUR,2,3.5015864036586675
140,AGE,2,6.515158595340989
141,BE,2,2.8629431255986444
142,MY,2,2.7502444549510554
143,CLAD,2,7.942274950981135
144,WITH,2,2.549405267491876
145,THIS,2,3.38664521055318
146,MOST,2,4.792391997599886
147,SAID,2,3.003016319727107
148,ARE,2,3.3641334373809633
149,COME,2,4.524548267367769
150,LIKE,3,4.125784372274553
151,LITTLE,3,3.9471370388424827
152,NOT,3,3.1409898860667536
153,HER,3,3.3162134059616677
154,ME,3,3.0222940251530104
155,WAS,4,2.8546786157487514
156,TO,4,2.072742660654324
157,THAT,5,3.1333479274790244
158,IN,5,2.8432218619573653
159,YOU,5,2.982699060498355
160,I,6,2.578638118312456
161,SHE,6,4.095679750875444
162,THE,8,2.240438813655617
163,OF,9,2.8710440841468645
164,S,10,4.629301802733819
165,AND,11,2.7032573267143905
166,A,14,3.512308854018135
